City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Santa Isabel Do Rio Negro,BR,75.2,broken clouds,-0.4139,-65.0192,Hotel GSA
442,Codrington,AU,66.02,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
445,Atambua,ID,75.72,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
449,Atar,MR,71.8,scattered clouds,20.5169,-13.0499,Oumou Elghoura
450,Trujillo Alto,PR,73.26,thunderstorm,18.3547,-66.0074,Tropical Forest
452,Yulara,AU,66.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
457,Port Augusta,AU,77.7,broken clouds,-32.5,137.7667,Majestic Oasis Apartments
459,Dwarka,IN,68.9,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
462,Upata,VE,81.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
463,Palau,PW,76.96,broken clouds,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
464,Mazabuka,ZM,64.92,light rain,-15.856,27.748,kachali king traders
467,Jutai,BR,72.41,overcast clouds,-5.1833,-68.9,
468,Chauk,MM,63.64,clear sky,20.8833,94.8167,Bo Khin Guest House
470,Lodja,CD,68.88,overcast clouds,-3.4833,23.4333,
472,Minuri,PH,69.87,overcast clouds,16.535,121.8574,
473,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
474,Cam Ranh,VN,73.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
475,Durham,US,69.3,overcast clouds,36.0335,-78.8664,Hampton Inn & Suites Durham/North I-85
476,Balud,PH,78.76,overcast clouds,10.1476,123.6953,Pulchra Resort
477,Calvinia,ZA,70.68,clear sky,-31.4707,19.776,Die Lemoenhuis
481,Mandiana,GN,75.67,clear sky,10.6333,-8.6833,Motels rouzo
486,Daru,PG,79.65,overcast clouds,-9.0763,143.2092,Daru Lodge
487,Ternate,ID,80.49,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
489,Lucapa,AO,62.2,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
491,Kui Buri,TH,79.99,scattered clouds,12.0828,99.8543,Rista House & Resort
